c,c#,d,d#,e,f,f#,g,g#,a,a#,b,chord
0.43488072961642893,0.21520981189456212,1,0.05245179091110158,0.10743446518961305,0.03209700329510994,0.29704920416018576,0.07129879833166723,0.022649533313150835,0.3510459485211565,0.01923201113383093,0.09341678217990833,4
0.06141089990477263,0.7111679916477167,0.17697728248782915,0.08578841448786492,1,0.14795928610976092,0.09607357795534388,0.12269917031271065,0.2782969112930946,0.8900650472846836,0.08785365168761369,0.18471959828560502,0
0.061916270800016195,0.9520547913262203,0.11990641533248625,0.08255477876927478,0.7457708569139743,0.11815746798830856,0.11281855793113621,0.1381795305924373,0.5051073115818153,0.8784714946963605,0.09158746318116633,0.3049113695402775,0
0.09026024721476891,0.29236051175389954,1,0.06412814086971377,0.11044046000630911,0.0647104192515767,0.4625839287033634,0.07944421401030835,0.06630838724499272,0.4139070562095848,0.05406548862675521,0.040876315776328456,4
0.05529467777082514,0.833011741527266,0.12428951327616565,0.07221163457016591,0.4616882002856231,0.1326230142682237,0.07990555797860985,0.08830906373415143,0.1964371492852443,1,0.08375490699392686,0.1532603114246094,0
0.08177607311526289,0.5174487560434913,0.26788559596437644,0.07703106725795404,0.9966216971835501,0.15147252069313466,0.18302612575776744,0.16214957167749386,0.18796538139278282,0.8631200003832462,0.08624126849071839,0.3690812231667822,0
0.12941066174210414,0.8834148272669428,0.29889711670741653,0.11856587275465433,0.830583912951536,0.18813168169852112,0.14502697866189443,0.3017683674835744,0.3020203508789774,0.9492081171787543,0.10252876804855454,0.49891723684001676,0
0.49166213835319883,0.16004480391793008,1,0.053266430136760606,0.11239042649153819,0.022833909378730956,0.3611012508395991,0.04697355261149652,0.018216325694795032,0.4113112032130657,0.0147706124285308,0.06902566155439988,4
0.2333828126803026,0.10206833055735418,0.5396078055160101,0.07210040542727145,0.12231614859610526,0.5333068509928613,0.15463639546219382,0.06217186884925271,0.040238823328734546,1,0.036711248065478784,0.051212861832512405,5
0.17150842259326676,0.28994905115614283,0.830034696282091,0.06167897447203005,0.19398863834761798,0.39383206904413437,0.329806527336913,0.0838117243380852,0.04505858125970511,0.9530057935221707,0.05460779109663581,0.09023562178795883,5
0.32335800877609766,0.44273137196934254,0.8201195467162998,0.13058166427749215,0.239876363721241,0.36949494386923315,0.36309313075954774,0.0884371849494852,0.04804775124307441,1,0.047272017065757656,0.1143472826542963,5
0.17138874291232997,0.15985063209358205,0.8932573765386989,0.07744363173806293,0.13625056347297604,0.4254658901846977,0.2088529324522058,0.07289969394980823,0.03968079697693606,0.9234811368385829,0.04113323944698908,0.1257095343201564,5
